"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,85,"GEO","Georgia",1,"Abkhazia",1,"Gagra","GE.AB.GG",NA,"","Raioni","District","",""
2,85,"GEO","Georgia",1,"Abkhazia",2,"Gali","GE.AB.GL",NA,"","Raioni","District","",""
3,85,"GEO","Georgia",1,"Abkhazia",3,"Gudauta","GE.AB.GT",NA,"","Raioni","District","",""
4,85,"GEO","Georgia",1,"Abkhazia",4,"Gulripshi","GE.AB.GP",NA,"","Raioni","District","",""
5,85,"GEO","Georgia",1,"Abkhazia",5,"Ochamchire","GE.AB.OC",NA,"","Raioni","District","",""
6,85,"GEO","Georgia",1,"Abkhazia",6,"Sokhumi","GE.AB.SU",NA,"","K'alak'i","City","","Sukhumi"
7,85,"GEO","Georgia",2,"Ajaria",7,"Batumi","GE.AJ.BT",NA,"","K'alak'i","City","",""
8,85,"GEO","Georgia",2,"Ajaria",8,"Keda","GE.AJ.KD",NA,"","Raioni","District","",""
9,85,"GEO","Georgia",2,"Ajaria",9,"Khulo","GE.AJ.KL",NA,"","Raioni","District","",""
10,85,"GEO","Georgia",2,"Ajaria",10,"Kobuleti","GE.AJ.KB",NA,"","Raioni","District","",""
11,85,"GEO","Georgia",2,"Ajaria",11,"Shuakhevi","GE.AJ.SH",NA,"","Raioni","District","",""
12,85,"GEO","Georgia",3,"Guria",12,"Chokhatauri","GE.GU.CK",NA,"","Raioni","District","",""
13,85,"GEO","Georgia",3,"Guria",13,"Lanchkhuti","GE.GU.LK",NA,"","Raioni","District","",""
14,85,"GEO","Georgia",3,"Guria",14,"Ozurgeti","GE.GU.OZ",NA,"","Raioni","District","",""
15,85,"GEO","Georgia",4,"Imereti",15,"Bagdati","GE.IM.BG",NA,"","Raioni","District","",""
16,85,"GEO","Georgia",4,"Imereti",16,"Chiatura","GE.IM.CT",NA,"","Raioni","District","","Tchiatura"
17,85,"GEO","Georgia",4,"Imereti",17,"Kharagauli","GE.IM.KG",NA,"","Raioni","District","","Xaragauli"
18,85,"GEO","Georgia",4,"Imereti",18,"Khoni","GE.IM.KN",NA,"","Raioni","District","<U+10EE><U+10DD><U+10DC><U+10D8>","Xoni"
19,85,"GEO","Georgia",4,"Imereti",19,"Kutaisi","GE.IM.KT",NA,"","K'alak'i","City","",""
20,85,"GEO","Georgia",4,"Imereti",20,"Sachkhere","GE.IM.SC",NA,"","Raioni","District","",""
21,85,"GEO","Georgia",4,"Imereti",21,"Samtredia","GE.IM.SM",NA,"","Raioni","District","",""
22,85,"GEO","Georgia",4,"Imereti",22,"Terjola","GE.IM.TJ",NA,"","Raioni","District","",""
23,85,"GEO","Georgia",4,"Imereti",23,"Tkibuli","GE.IM.TQ",NA,"","Raioni","District","",""
24,85,"GEO","Georgia",4,"Imereti",24,"Tskaltubo","GE.IM.TS",NA,"","Raioni","District","",""
25,85,"GEO","Georgia",4,"Imereti",25,"Vani","GE.IM.VA",NA,"","Raioni","District","",""
26,85,"GEO","Georgia",4,"Imereti",26,"Zestaponi","GE.IM.ZP",NA,"","Raioni","District","",""
