X;min;mean;max;date
1;28;33;38;2013-01-01
2;33;40;46;2013-01-02
3;35;42;50;2013-01-03
4;26;36;46;2013-01-04
5;32;39;46;2013-01-05
6;32;36;41;2013-01-06
7;28;35;42;2013-01-07
8;21;27;33;2013-01-08
9;17;28;39;2013-01-09
10;21;30;39;2013-01-10
11;37;40;44;2013-01-11
12;33;36;39;2013-01-12
13;28;34;39;2013-01-13
14;35;39;43;2013-01-14
15;37;44;50;2013-01-15
16;42;45;48;2013-01-16
17;32;34;35;2013-01-17
18;37;40;42;2013-01-18
19;35;38;41;2013-01-19
20;35;40;45;2013-01-20
21;37;45;53;2013-01-21
22;42;44;47;2013-01-22
23;39;44;48;2013-01-23
24;32;34;37;2013-01-24
25;35;38;41;2013-01-25
26;30;34;37;2013-01-26
27;28;32;37;2013-01-27
28;28;34;41;2013-01-28
29;32;38;44;2013-01-29
30;26;36;47;2013-01-30
31;26;37;48;2013-01-31
32;26;38;50;2013-02-01
33;41;46;52;2013-02-02
34;41;46;50;2013-02-03
35;37;42;46;2013-02-04
36;28;36;46;2013-02-05
37;30;38;46;2013-02-06
38;37;39;41;2013-02-07
39;30;37;44;2013-02-08
40;30;36;42;2013-02-09
41;32;36;39;2013-02-10
42;28;34;39;2013-02-11
43;35;42;48;2013-02-12
44;37;42;46;2013-02-13
45;37;42;48;2013-02-14
46;37;42;46;2013-02-15
47;33;40;48;2013-02-16
48;37;40;42;2013-02-17
49;33;37;41;2013-02-18
50;35;38;41;2013-02-19
51;33;40;46;2013-02-20
52;32;34;37;2013-02-21
53;32;38;44;2013-02-22
54;39;44;48;2013-02-23
55;41;46;51;2013-02-24
56;41;46;50;2013-02-25
57;37;42;48;2013-02-26
58;37;42;46;2013-02-27
59;37;42;46;2013-02-28
60;32;40;50;2013-03-01
61;35;38;42;2013-03-02
62;33;40;46;2013-03-03
63;32;40;50;2013-03-04
64;35;44;52;2013-03-05
65;42;43;44;2013-03-06
66;39;41;43;2013-03-07
67;41;44;48;2013-03-08
68;46;48;51;2013-03-09
69;46;50;57;2013-03-10
70;50;52;55;2013-03-11
71;39;42;46;2013-03-12
72;42;48;53;2013-03-13
73;39;46;51;2013-03-14
74;41;42;44;2013-03-15
75;28;30;33;2013-03-16
76;21;32;42;2013-03-17
77;35;39;43;2013-03-18
78;48;52;55;2013-03-19
79;33;45;59;2013-03-20
80;46;48;51;2013-03-21
81;42;45;48;2013-03-22
82;33;44;54;2013-03-23
83;33;46;60;2013-03-24
84;48;50;53;2013-03-25
85;44;47;50;2013-03-26
86;42;46;51;2013-03-27
87;42;46;51;2013-03-28
88;46;48;51;2013-03-29
89;53;58;62;2013-03-30
90;44;50;55;2013-03-31
91;46;52;57;2013-04-01
92;45;48;50;2013-04-02
93;41;46;51;2013-04-03
94;46;50;54;2013-04-04
95;42;48;57;2013-04-05
96;44;54;63;2013-04-06
97;42;48;51;2013-04-07
98;41;46;51;2013-04-08
99;42;46;50;2013-04-09
100;44;50;55;2013-04-10
101;42;51;60;2013-04-11
102;41;52;65;2013-04-12
103;51;60;68;2013-04-13
104;44;55;66;2013-04-14
105;42;50;59;2013-04-15
106;46;53;60;2013-04-16
107;46;53;61;2013-04-17
108;46;54;62;2013-04-18
109;50;55;60;2013-04-19
110;48;54;59;2013-04-20
111;37;52;66;2013-04-21
112;51;56;64;2013-04-22
113;50;54;57;2013-04-23
114;48;57;68;2013-04-24
115;42;57;72;2013-04-25
116;42;56;76;2013-04-26
117;60;68;77;2013-04-27
118;46;60;73;2013-04-28
119;44;61;79;2013-04-29
120;59;70;80;2013-04-30
121;60;66;76;2013-05-01
122;59;68;77;2013-05-02
123;50;62;75;2013-05-03
124;60;66;76;2013-05-04
125;50;64;78;2013-05-05
126;62;66;69;2013-05-06
127;55;64;73;2013-05-07
128;55;62;68;2013-05-08
129;53;58;64;2013-05-09
130;46;58;72;2013-05-10
131;55;62;69;2013-05-11
132;51;58;66;2013-05-12
133;50;52;53;2013-05-13
134;46;56;66;2013-05-14
135;51;60;69;2013-05-15
136;51;58;64;2013-05-16
137;48;62;77;2013-05-17
138;64;70;77;2013-05-18
139;48;63;78;2013-05-19
140;60;66;74;2013-05-20
141;41;59;77;2013-05-21
142;59;67;75;2013-05-22
143;57;60;62;2013-05-23
144;51;56;62;2013-05-24
145;55;60;64;2013-05-25
146;46;54;62;2013-05-26
147;48;56;64;2013-05-27
148;33;50;66;2013-05-28
149;62;68;74;2013-05-29
150;55;61;67;2013-05-30
151;46;52;59;2013-05-31
152;55;60;64;2013-06-01
153;42;53;64;2013-06-02
154;53;60;68;2013-06-03
155;51;56;62;2013-06-04
156;53;58;64;2013-06-05
157;57;63;71;2013-06-06
158;44;56;69;2013-06-07
159;60;66;73;2013-06-08
160;50;63;76;2013-06-09
161;60;68;75;2013-06-10
162;50;60;70;2013-06-11
163;55;60;64;2013-06-12
164;60;66;73;2013-06-13
165;51;64;78;2013-06-14
166;62;70;79;2013-06-15
167;53;68;82;2013-06-16
168;64;74;84;2013-06-17
169;55;70;86;2013-06-18
170;69;78;87;2013-06-19
171;57;74;90;2013-06-20
